protocol,model,metric,subset,excluded_folds,n_folds,mean,std,ci_low,ci_high,delta_vs_all_folds
main,lightgbm,roc_auc,excluding_episode_dominated,4,4,0.8557750416496918,0.1302659114293614,0.6484929073832988,1.0,-0.028427018838295792
main,lightgbm,pr_auc,all_folds,none,5,0.657378347053837,0.3466901816036769,0.22690563002582653,1.0,0.0
main,lightgbm,pr_auc,excluding_episode_dominated,4,4,0.5718544756942578,0.3339110044283081,0.0405275545260374,1.0,-0.08552387135957917
main,lightgbm,f1,all_folds,none,5,0.5471926027189185,0.36467042455787413,0.09439446533572438,0.9999907401021125,0.0
main,lightgbm,f1,excluding_episode_dominated,4,4,0.4368316624895572,0.3100254460646242,0.0,0.9301513301757055,-0.11036094022936127
main,lightgbm,precision,all_folds,none,5,0.5909970346913557,0.4089614061514888,0.08320438001826469,1.0,0.0
main,lightgbm,precision,excluding_episode_dominated,4,4,0.49436427089228446,0.4009322079423861,0.0,1.0,-0.09663276379907121
main,lightgbm,recall,all_folds,none,5,0.5481596564355184,0.35400620789625403,0.10860289295010273,0.9877164199209342,0.0
main,lightgbm,recall,excluding_episode_dominated,4,4,0.4351995705443981,0.28640412056262826,0.0,0.8909324381956811,-0.11296008589112033
main,lightgbm,brier,all_folds,none,5,0.09545244464522733,0.07109558847595218,0.007175612003527079,0.18372927728692756,0.0
main,lightgbm,brier,excluding_episode_dominated,4,4,0.11473971550070719,0.06526447339330162,0.010889374392307402,0.21859005660910696,0.019287270855479863
onset,majority,roc_auc,all_folds,none,5,0.5,0.0,0.5,0.5,0.0
onset,majority,roc_auc,excluding_episode_dominated,none,5,0.5,0.0,0.5,0.5,0.0
onset,majority,pr_auc,all_folds,none,5,0.05269461077844312,0.03065026081932869,0.01463728538352728,0.09075193617335896,0.0
onset,majority,pr_auc,excluding_episode_dominated,none,5,0.05269461077844312,0.03065026081932869,0.01463728538352728,0.09075193617335896,0.0
onset,majority,f1,all_folds,none,5,0.0,0.0,0.0,0.0,0.0
onset,majority,f1,excluding_episode_dominated,none,5,0.0,0.0,0.0,0.0,0.0
onset,majority,precision,all_folds,none,5,0.0,0.0,0.0,0.0,0.0
onset,majority,precision,excluding_episode_dominated,none,5,0.0,0.0,0.0,0.0,0.0
onset,majority,recall,all_folds,none,5,0.0,0.0,0.0,0.0,0.0
onset,majority,recall,excluding_episode_dominated,none,5,0.0,0.0,0.0,0.0,0.0
onset,majority,brier,all_folds,none,5,0.05057135393901668,0.028624107811039898,0.015029829789345292,0.08611287808868807,0.0
onset,majority,brier,excluding_episode_dominated,none,5,0.05057135393901668,0.028624107811039898,0.015029829789345292,0.08611287808868807,0.0
onset,moisture_threshold,roc_auc,all_folds,none,5,0.935179304892895,0.029980211171986612,0.8979539560220929,0.9724046537636971,0.0
onset,moisture_threshold,roc_auc,excluding_episode_dominated,none,5,0.935179304892895,0.029980211171986612,0.8979539560220929,0.9724046537636971,0.0
onset,moisture_threshold,pr_auc,all_folds,none,5,0.38488863476958424,0.19014318114172263,0.14879469224197037,0.6209825772971981,0.0
onset,moisture_threshold,pr_auc,excluding_episode_dominated,none,5,0.38488863476958424,0.19014318114172263,0.14879469224197037,0.6209825772971981,0.0
onset,moisture_threshold,f1,all_folds,none,5,0.4222061463440774,0.2605020995427014,0.09875006788541174,0.745662224802743,0.0
onset,moisture_threshold,f1,excluding_episode_dominated,none,5,0.4222061463440774,0.2605020995427014,0.09875006788541174,0.745662224802743,0.0
onset,moisture_threshold,precision,all_folds,none,5,0.34416048186954074,0.25494694120788153,0.027602043519542596,0.6607189202195389,0.0
onset,moisture_threshold,precision,excluding_episode_dominated,none,5,0.34416048186954074,0.25494694120788153,0.027602043519542596,0.6607189202195389,0.0
onset,moisture_threshold,recall,all_folds,none,5,0.8580769230769232,0.1603458724650187,0.6589812259765372,1.0,0.0
onset,moisture_threshold,recall,excluding_episode_dominated,none,5,0.8580769230769232,0.1603458724650187,0.6589812259765372,1.0,0.0
onset,moisture_threshold,brier,all_folds,none,5,0.04325430204399655,0.02306472258372963,0.014615666383222169,0.07189293770477093,0.0
onset,moisture_threshold,brier,excluding_episode_dominated,none,5,0.04325430204399655,0.02306472258372963,0.014615666383222169,0.07189293770477093,0.0
onset,logistic,roc_auc,all_folds,none,5,0.7891002480193187,0.16963141414253569,0.5784750281141393,0.999725467924498,0.0
onset,logistic,roc_auc,excluding_episode_dominated,none,5,0.7891002480193187,0.16963141414253569,0.5784750281141393,0.999725467924498,0.0
onset,logistic,pr_auc,all_folds,none,5,0.3242646164227477,0.1450278245425811,0.14418878795041246,0.5043404448950829,0.0
onset,logistic,pr_auc,excluding_episode_dominated,none,5,0.3242646164227477,0.1450278245425811,0.14418878795041246,0.5043404448950829,0.0
onset,logistic,f1,all_folds,none,5,0.13146997929606624,0.14382902221911723,0.0,0.31005729808239335,0.0
